"week_start_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","adjusted_orders","adjusted_orders_rate","total_canceled_orders","total_canceled_orders_rate","avoidable_canceled_orders","avoidable_canceled_orders_rate","gross_subtotal_sales","adjusted_subtotal_sales","total_canceled_orders_subtotal_sales","avoidable_canceled_orders_subtotal_sales","subtotal_sales_after_adjustments_and_cancels","new_customer_orders","new_customer_orders_rate","gh_plus_customer_orders","gh_plus_customer_orders_rate","pick_up_orders","self_delivery_orders","grubhub_delivery_orders","avg_driver_time_at_store","avg_avoidable_driver_wait_time","avg_delivery_route_time","avg_order_to_delivery_time","ratings_all","ratings_5_stars","ratings_4_stars","ratings_3_stars","ratings_2_stars","ratings_1_star","reviews"
"2026-02-02","2116039",,"BBQ Ribs Co.","820 Pennsylvania Ave ","Pittsburgh","PA","15233","3","1","0.333","0",,"0",,"58.93","-3.98","0.00","0.00","54.95","2","0.667","2","0.667","0","0","3","00:04:30.000","00:03:45.000","00:22:30.000","01:01:00.000","1","0","0","1","0","0","1"
"2026-01-26","9820960","370 Main St","FirstBite Breakfast Sandwiches","370 Main St  ","East Orange","NJ","07018","1","0",,"0",,"0",,"15.39","0.00","0.00","0.00","15.39","1","1.000","0",,"0","0","1","00:02:00.000","00:00:00.000","00:04:00.000","00:21:00.000","1","1","0","0","0","0","0"
"2026-02-23","9811888","Avenue A","Luke's Breakfast Wraps","93 Avenue A  ","New York","NY","10009","2","0",,"0",,"0",,"34.27","0.00","0.00","0.00","34.27","0",,"2","1.000","0","0","2","00:05:00.000","00:02:00.000","00:12:00.000","00:27:30.000","0","0","0","0","0","0","0"
"2026-02-23","10936568","W Chester Pike","The Dessert Shack","2560 West Chester Pike  ","Broomall","PA","19008","1","0",,"1","1.000","1","1.000","20.96","0.00","-20.96","-20.96","0.00","1","1.000","0",,"0","0","1",,,,,"0","0","0","0","0","0","0"
"2026-02-16","8570072",,"Carmen's Breakfast Burritos","4352 E Speedway Blvd  ","Tucson","AZ","85712","2","0",,"0",,"0",,"58.43","0.00","0.00","0.00","58.43","1","0.500","2","1.000","0","0","2","00:02:30.000","00:00:00.000","00:15:30.000","00:32:30.000","0","0","0","0","0","0","0"
"2026-02-02","3344337","301 W 96th St","Che Breakfast Cafe","301 W 96th St  ","New York","NY","10025","2","1","0.500","0",,"0",,"48.23","-25.38","0.00","0.00","22.85","0",,"1","0.500","0","0","2","00:05:00.000","00:01:30.000","00:16:00.000","00:41:00.000","0","0","0","0","0","0","0"
"2026-02-16","8569904",,"The Breakfast Dash","1561 St Nicholas Ave  ","New York","NY","10040","2","0",,"0",,"0",,"59.96","0.00","0.00","0.00","59.96","1","0.500","2","1.000","0","0","2","00:08:30.000","00:01:30.000","00:05:00.000","00:21:30.000","0","0","0","0","0","0","0"
"2026-02-16","2741113",,"Philly Cheesesteak Company","1760 3rd Ave New York  ","New York","NY","10029","1","0",,"0",,"0",,"30.97","0.00","0.00","0.00","30.97","1","1.000","0",,"0","0","1","00:04:00.000","00:04:00.000","00:05:00.000","00:20:00.000","0","0","0","0","0","0","0"
"2026-02-16","9815120","Hillside","The Burger Passion","164-01 Hillside Ave.  ","Jamaica","NY","11432","1","0",,"0",,"0",,"19.97","0.00","0.00","0.00","19.97","0",,"1","1.000","0","0","1","00:03:00.000","00:00:00.000","00:13:00.000","00:23:00.000","0","0","0","0","0","0","0"
"2026-02-02","3310236","Queens Plaza S","The Pasta Story","25-02 Queens Plaza S  ","Queens","NY","11101","4","0",,"0",,"0",,"98.11","0.00","0.00","0.00","98.11","3","0.750","2","0.500","0","0","4","00:06:45.000","00:02:45.000","00:09:00.000","00:37:30.000","0","0","0","0","0","0","0"
"2026-02-09","2796118",,"The Dumpling Snob","9737 Manchester Rd  ","St. Louis","MO","63119","5","0",,"0",,"0",,"155.23","0.00","0.00","0.00","155.23","4","0.800","4","0.800","0","0","5","00:03:19.800","00:03:19.800","00:18:19.800","00:54:30.000","0","0","0","0","0","0","0"
"2026-02-09","3310559","Bedford Ave","Casa Pasta Ristorante","265 Bedford Ave  ","Brooklyn","NY","11211","2","0",,"0",,"0",,"58.15","0.00","0.00","0.00","58.15","0",,"0",,"0","0","2","00:06:00.000","00:04:30.000","00:11:30.000","00:34:00.000","0","0","0","0","0","0","0"
"2026-02-02","9815152","Mission","Leon's Legendary Pizza","3349 Mission St  ","San Francisco","CA","94110","2","0",,"0",,"0",,"116.12","0.00","0.00","0.00","116.12","1","0.500","1","0.500","0","0","2","00:03:30.000","00:03:30.000","00:09:00.000","00:36:30.000","1","0","0","1","0","0","0"
"2026-02-02","3300782","Canal St #6019","Despicable Wraps","83 Canal St  ","New York","NY","10002","1","0",,"1","1.000","1","1.000","36.37","0.00","-36.37","-36.37","0.00","0",,"0",,"0","0","1",,,,,"0","0","0","0","0","0","0"
"2026-02-16","10062176","Van Nuys Blvd","Perry's Pizza Parlour","9061 Van Nuys Blvd  ","Los Angeles","CA","91402","1","0",,"0",,"0",,"33.58","0.00","0.00","0.00","33.58","0",,"1","1.000","0","0","1","00:28:00.000","00:28:00.000","00:05:00.000","00:53:00.000","0","0","0","0","0","0","0"
"2026-02-23","7100256","Leo's Coney Island - 15198 E 13 Mile Rd","The Scorchin' Burger","15198 E Thirteen Mile Rd  ","Warren","MI","48088","1","0",,"0",,"0",,"42.95","0.00","0.00","0.00","42.95","1","1.000","1","1.000","0","0","1","00:01:00.000","00:01:00.000","00:24:00.000",,"0","0","0","0","0","0","0"
"2026-02-09","5037632","9061 Van Nuys Blvd","The Gourmet Burger","9061 Van Nuys Blvd  ","Los Angeles","CA","91402","1","0",,"0",,"0",,"12.59","0.00","0.00","0.00","12.59","1","1.000","1","1.000","0","0","1","00:02:00.000","00:00:00.000","00:10:00.000","00:23:00.000","1","1","0","0","0","0","0"
"2026-02-16","10078568","Gold St","Sizzlin' Omelette Cafe","257 Gold St  ","Brooklyn","NY","11201","1","0",,"0",,"0",,"15.39","0.00","0.00","0.00","15.39","0",,"1","1.000","0","0","1","00:07:00.000","00:00:00.000","00:05:00.000","00:19:00.000","0","0","0","0","0","0","0"
"2026-02-09","8563032",,"Francesco Pasta Ristorante","9061 Van Nuys Blvd ","Los Angeles","CA","91402","1","0",,"0",,"0",,"22.39","0.00","0.00","0.00","22.39","1","1.000","0",,"0","0","1","00:01:00.000","00:01:00.000","00:12:00.000","00:35:00.000","0","0","0","0","0","0","0"
"2026-01-26","6891832","Thai Thai San Marcos Restaurant - 801 S Twin Oaks Valley Rd","Vinny’s Vegetarian Spot","1450 West Mission Rd  ","San Marcos","CA","92069","1","0",,"0",,"0",,"33.78","0.00","0.00","0.00","33.78","1","1.000","1","1.000","0","0","1","00:03:00.000","00:03:00.000","00:19:00.000","00:44:00.000","1","1","0","0","0","0","0"
"2026-02-16","7749192","Sicilian Pizza - 2614 Lebanon Pike","Green Leaf Salads","2614 Lebanon Pike  ","Nashville","TN","37214","1","0",,"0",,"0",,"23.07","0.00","0.00","0.00","23.07","1","1.000","1","1.000","0","0","1","00:00:00.000","00:00:00.000","00:07:00.000","00:38:00.000","0","0","0","0","0","0","0"
"2026-02-16","2710285",,"The Salad God (4th Ave)","59 4th Ave  ","New York","NY","10003","1","0",,"0",,"0",,"22.47","0.00","0.00","0.00","22.47","1","1.000","1","1.000","0","0","1","00:11:00.000","00:04:00.000","00:09:00.000","00:32:00.000","0","0","0","0","0","0","0"
"2026-02-16","2457881",,"Chicken Tenders Bar","1929 Chestnut St ","Philadelphia","PA","19103","3","0",,"0",,"0",,"56.45","0.00","0.00","0.00","56.45","2","0.667","3","1.000","0","0","3","00:01:00.000","00:01:00.000","00:10:40.200","00:49:40.200","0","0","0","0","0","0","0"
"2026-02-02","3310764","Pennsylvania Ave","The American Dream Kitchen","820 Pennsylvania Ave  ","Pittsburgh","PA","15233","2","1","0.500","0",,"0",,"78.40","-4.99","0.00","0.00","73.41","0",,"2","1.000","0","0","2","00:01:30.000","00:00:00.000","00:21:00.000","00:44:00.000","0","0","0","0","0","0","0"
"2026-02-23","3310669","Bedford Ave","Penny's Pancakes","265 Bedford Ave  ","Brooklyn","NY","11211","1","0",,"0",,"0",,"20.28","0.00","0.00","0.00","20.28","1","1.000","0",,"0","0","1","00:04:00.000","00:01:00.000","00:10:00.000","00:32:00.000","0","0","0","0","0","0","0"
"2026-02-02","3309771","Hillside Ave","Jr's Philly Cheesesteaks","164-01 Hillside Avenue  ","Jamaica","NY","11432","1","0",,"0",,"0",,"55.53","0.00","0.00","0.00","55.53","1","1.000","0",,"0","0","1","00:00:00.000","00:00:00.000","00:43:00.000","02:24:00.000","0","0","0","0","0","0","0"
"2026-02-16","10379328","South Bay","Charlie's Chicken Wings","1156 S Bay Rd  ","Dover","DE","19901","1","0",,"0",,"0",,"38.56","0.00","0.00","0.00","38.56","0",,"1","1.000","0","0","1","00:22:00.000","00:22:00.000","00:05:00.000","01:14:00.000","1","1","0","0","0","0","0"
