Store,External Store ID,City,Country,Country Code,Pause Start,Pause Duration,Reason For Pausing
Roman's Pizza Oven (751 Post Road),,NYC Suburbs,United States,USA,2026-02-04 21:21:22.000,08:39:07,Paused by Uber Eats due to your store canceling an order with the reason ‘store is closed’.
Dimora Ristorante & Bar (100 Piermont Rd),fb192a20-10db-5e33-b88c-cbaa14939ea6,New Jersey,United States,USA,2026-02-04 19:21:25.000,00:00:32,Paused by Uber Eats as multiple couriers reported the store was closed.
The Smoothie Squeeze (501 Broadway St),e715275e-17cd-5a31-bd0e-a0ba0c9d0272,San Francisco,United States,USA,2026-02-04 15:41:17.000,14:19:13,Paused by Uber Eats as multiple couriers reported the store was closed.
Toast N Roast Breakfast Sandwiches (97 Lexington Ave),,New York City,United States,USA,2026-02-04 09:57:33.000,20:02:56,Paused by Uber Eats after 2 missed orders.
The Pizza Flip (115-20 Queens Blvd),eb7d14c5-63f4-4a28-b99e-5fe74fa8ae17,New York City,United States,USA,2026-02-04 06:40:36.000,23:19:53,Paused by Uber Eats due to multiple couriers canceling after arriving at your store. 
The Smoothie Squeeze (501 Broadway St),e715275e-17cd-5a31-bd0e-a0ba0c9d0272,San Francisco,United States,USA,2026-02-03 20:01:31.000,09:58:58,Paused by Uber Eats due to multiple couriers canceling after arriving at your store. 
Daybreak Breakfast Club (172 Prince St),,New York City,United States,USA,2026-02-02 15:41:32.000,14:18:57,Paused by Uber Eats due to multiple couriers canceling after arriving at your store. 
The Halal Indian Kitchen,e7ae094b-ff7f-40b2-b13b-4acf08982475,New York City,United States,USA,2026-02-02 09:21:00.000,20:39:10,Paused by Uber Eats as multiple couriers reported the store was closed.
Next Door Pizza Pie (11916 Wilshire Blvd),,Los Angeles,United States,USA,2026-02-02 05:48:54.000,00:13:06,Paused by Uber Eats after 2 missed orders.
Ramen Noodle Empire (2521 Durant Ave Suite D),39861cbf-7b92-478d-968d-20f8c86c8797,San Francisco,United States,USA,2026-02-02 00:40:22.000,05:20:07,Paused by Uber Eats due to multiple couriers canceling after arriving at your store. 
Classic Italian Pasta Co.,36b5f495-80a5-4cf8-8f68-4b62dc828cc3,Los Angeles,United States,USA,2026-02-01 23:53:59.000,06:06:30,Paused by Uber Eats after 2 missed orders.
The Fried Chicken Crave (128-12 Liberty Ave),b7bd2df4-fd3b-5636-9aa4-3376955d309d,New York City,United States,USA,2026-02-01 23:01:22.000,06:58:59,Paused by Uber Eats due to your store canceling an order with the reason ‘store is closed’.
Leon's Legendary Pizza (243 S Beverly Dr),,Los Angeles,United States,USA,2026-02-01 19:21:54.000,10:38:35,Paused by Uber Eats as multiple couriers reported the store was closed.
The Smoothie Squeeze (501 Broadway St),e715275e-17cd-5a31-bd0e-a0ba0c9d0272,San Francisco,United States,USA,2026-02-01 19:21:37.000,10:38:53,Paused by Uber Eats as multiple couriers reported the store was closed.
Wonka's Smoothie Bar (169-03 Jamaica Ave),,New York City,United States,USA,2026-02-01 09:21:10.000,20:39:19,Paused by Uber Eats as multiple couriers reported the store was closed.
Kelly's Pancake Bar,efaa8059-bafb-4d09-b1e8-c51e82ebcf9d,New York City,United States,USA,2026-02-01 08:20:40.000,21:39:49,Paused by Uber Eats as multiple couriers reported the store was closed.
