Start Date,End Date,Store ID,Store Name,Merchant Supplied ID,Downtime Category - Short,Downtime Category - Description,Minutes Downtime
2026-02-01,2026-02-28,1465058,Charlie's Chicken Wings (Virtual Brand)(Bronxdale Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,843
2026-02-01,2026-02-28,1465730,The Pasta Story (1424 Lexington Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,842
2026-02-01,2026-02-28,1465730,The Pasta Story (1424 Lexington Ave),NULL,Store Issue,Auto Pause - High Avoidable and/or POS Cancellation Rate,664
2026-02-01,2026-02-28,1465730,The Pasta Story (1424 Lexington Ave),NULL,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,60
2026-02-01,2026-02-28,1477944,BBQ Ribs Co. (Virtual Brand)(228 George Street),NULL,Store Closure,Store Closure - Dasher Reported,99
2026-02-01,2026-02-28,1477969,The Gyro Bar (1969 Bronxdale Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,845
2026-02-01,2026-02-28,1477969,The Gyro Bar (1969 Bronxdale Ave),NULL,Store Closure,Store Closure - Out of Business,120
2026-02-01,2026-02-28,1497405,Halal Gyro Lab (Virtual Brand)(1760 3rd Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,840
2026-02-01,2026-02-28,1497417,Penny's Pancakes (1760 3rd Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,845
2026-02-01,2026-02-28,1518316,Local Breakfast Spot (755 9th Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,843
2026-02-01,2026-02-28,1518324,Patricia's Paninis (Virtual Brand)(1760 3rd Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,843
2026-02-01,2026-02-28,1518347,Smoothie And Dessert Bar (755 9th Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,843
2026-02-01,2026-02-28,1518350,The Burger Blade,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,840
2026-02-01,2026-02-28,1533181,Mary's Omelette Bar (300),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,1533372,The Sandwich Cafe,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,1556211,The Breakfast Dream (1117 Broadway),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,285
2026-02-01,2026-02-28,1556279,The Gyro Shop(Virtual Brand),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,285
2026-02-01,2026-02-28,1556279,The Gyro Shop(Virtual Brand),NULL,Store Closure,Store Closure - Dasher Reported,95
2026-02-01,2026-02-28,1567795,The Pancake Spot,NULL,UNCATEGORIZED,N/A,9865
2026-02-01,2026-02-28,1580519,Addictive Burger Bar,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,1580550,The Salad God(Virtual Brand),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,1580568,Amore Italian Desserts,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,1580759,Mama's Buffalo Wings,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,847
2026-02-01,2026-02-28,1580781,Chuck's Cheesesteaks,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,1581162,Ali's Gyro Lab,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,315
2026-02-01,2026-02-28,1581202,Ice Cream and Cake Shop(Virtual Brand),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,847
2026-02-01,2026-02-28,1585823,Healthy Salad Bar,5423,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,4
2026-02-01,2026-02-28,1591153,Charlie's Chicken Wings,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,846
2026-02-01,2026-02-28,1591183,Cheesecake And Dessert Bar,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,847
2026-02-01,2026-02-28,1592282,Ice Cream and Cake Shop(Virtual Brand),NULL,UNCATEGORIZED,N/A,19
2026-02-01,2026-02-28,1595687,The Burrito Snob,128,UNCATEGORIZED,N/A,878
2026-02-01,2026-02-28,1595687,The Burrito Snob,128,Store Closure,Store Closure - Dasher Reported,642
2026-02-01,2026-02-28,1608268,Halal Cheesesteak Snob,NULL,UNCATEGORIZED,N/A,565
2026-02-01,2026-02-28,1612008,Philly Cheesesteak Company,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,847
2026-02-01,2026-02-28,1619022,Nancy's Grilled Cheese,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,847
2026-02-01,2026-02-28,1619091,Healthy Salad Bar,1760,Store Closure,Store Closure - Bad Weather or Power Outage,847
2026-02-01,2026-02-28,1667941,Philly Cheesesteak Artists(Virtual Brand),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,852
2026-02-01,2026-02-28,1714540,Pardon My Panini,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,845
2026-02-01,2026-02-28,1725679,Smoothie And Dessert Bar,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,484
2026-02-01,2026-02-28,1725776,Empire State Panini,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,484
2026-02-01,2026-02-28,1743781,The Valley Gyro Spot,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,844
2026-02-01,2026-02-28,1743858,Mario's Italian Ristorante,NULL,UNCATEGORIZED,N/A,147
2026-02-01,2026-02-28,1744501,Wonderland Wraps,60-84,Store Closure,Store Closure - Bad Weather or Power Outage,844
2026-02-01,2026-02-28,1767282,Midtown Quesadillas Snob,NULL,UNCATEGORIZED,N/A,1307
2026-02-01,2026-02-28,1769351,Wonderland Wraps,217,UNCATEGORIZED,N/A,1798
2026-02-01,2026-02-28,1769351,Wonderland Wraps,217,Store Closure,Store Closure - Bad Weather or Power Outage,842
2026-02-01,2026-02-28,1778083,Stan's Burger Bar,NULL,UNCATEGORIZED,N/A,87
2026-02-01,2026-02-28,1783362,Golden Bear Sandwiches,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,842
2026-02-01,2026-02-28,1785496,The Minister Wraps,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,842
2026-02-01,2026-02-28,1786056,Wonderland Wraps (25-02 Queens Plaza S),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,842
2026-02-01,2026-02-28,1790140,Sasha's Sandwiches (60-84 Fresh Pond Rd),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,842
2026-02-01,2026-02-28,1790189,Burrito Lovers Bar (59 4th Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,1795228,Wonka's Smoothie Bar (59 4th Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,1803495,The Sandwich Slut,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,1803513,The Village Smoothie Spot,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,1824090,Brenda's Panini Palace,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,1827403,Alberto's Hero Sandwich Spot,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,1833053,Antonio's Quesadilla Shack (240 Sullivan St),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,1834080,Sam's Sandwich Spot (265 Bedford Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,1834903,Manhattan Salad Bar (265 Bedford Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,1834918,The Juice Affair (240 Sullivan St),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,1834934,Julia's Juice Shack (265 Bedford Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,1834947,Greek Gyro Spot (265 Bedford Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,1834983,Headlines Mexican Spot (265 Bedford Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,1836485,The Panini Project (265 Bedford Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,1860319,The Panini Project (59 4th Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,1877090,Salvatore's Parmigiana Sandwiches (43 W Flagler St),NULL,Store Closure,Store Closure - Dasher Reported,352
2026-02-01,2026-02-28,1897971,Cheers On Demand (2310 W Chapman Ave),NULL,Store Issue,Auto Pause - Tablet Detected Offline,13833
2026-02-01,2026-02-28,1973260,Olivia's Breakfast Cafe (226 Newark Ave),NULL,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,30
2026-02-01,2026-02-28,2077780,Aldo's Wraps Spot (589 1st Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,855
2026-02-01,2026-02-28,2101672,Princess Panini (589 1st Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,855
2026-02-01,2026-02-28,2101672,Princess Panini (589 1st Ave),NULL,UNCATEGORIZED,N/A,120
2026-02-01,2026-02-28,2102745,Despicable Wraps (300 8th Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,2140050,Flowers Bouquet Shop (171 Bleecker St),NULL,Store Issue,Auto Pause - Tablet Detected Offline,2289
2026-02-01,2026-02-28,2140050,Flowers Bouquet Shop (171 Bleecker St),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,282
2026-02-01,2026-02-28,2145951,Princess Panini (1741 1st Avenue),NULL,UNCATEGORIZED,N/A,1076
2026-02-01,2026-02-28,2145951,Princess Panini (1741 1st Avenue),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,480
2026-02-01,2026-02-28,2145966,Rooftop Sandwiches (169-03 Jamaica Ave),169-03,Store Closure,Store Closure - Bad Weather or Power Outage,840
2026-02-01,2026-02-28,2145966,Rooftop Sandwiches (169-03 Jamaica Ave),169-03,Store Closure,Store Closure - Dasher Reported,501
2026-02-01,2026-02-28,2162544,The Sandwich Vibe (1741 1st Avenue),1741,Store Closure,Store Closure - Bad Weather or Power Outage,480
2026-02-01,2026-02-28,2162874,The Omelette Farm (1741 1st Avenue),1741,Store Closure,Store Closure - Bad Weather or Power Outage,480
2026-02-01,2026-02-28,2230479,Despicable Wraps (1219 1st Avenue),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,315
2026-02-01,2026-02-28,2255754,Breakfast Burrito Floozy (S 101st E Ave),NULL,UNCATEGORIZED,N/A,682
2026-02-01,2026-02-28,2255754,Breakfast Burrito Floozy (S 101st E Ave),NULL,Store Closure,Store Closure - Dasher Reported,44
2026-02-01,2026-02-28,2269274,Day N Night Pancakes (Sullivan St),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,854
2026-02-01,2026-02-28,2272754,The Gourmet Burger (S 101st E Ave),NULL,UNCATEGORIZED,N/A,696
2026-02-01,2026-02-28,2273066,The Omelette Farm (Sullivan St),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,854
2026-02-01,2026-02-28,2290794,Bagel Dynasty (330 W Broadway),NULL,Store Closure,Store Closure - Dasher Reported,258
2026-02-01,2026-02-28,2290857,Antonio's Quesadilla Shack (Broadway),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,255
2026-02-01,2026-02-28,2291104,Mary's Omelette Bar (330 W Broadway),NULL,Store Closure,Store Closure - Dasher Reported,239
2026-02-01,2026-02-28,2291207,Top Notch Sandwiches (330 W Broadway),NULL,Store Closure,Store Closure - Dasher Reported,380
2026-02-01,2026-02-28,2291215,Hyde's Grilled Cheese (330 W Broadway),NULL,Store Closure,Store Closure - Dasher Reported,328
2026-02-01,2026-02-28,2291215,Hyde's Grilled Cheese (330 W Broadway),NULL,Store Issue,Auto Pause - High Avoidable and/or POS Cancellation Rate,60
2026-02-01,2026-02-28,2291401,Big E's Wraps (330 W Broadway),NULL,Store Closure,Store Closure - Dasher Reported,158
2026-02-01,2026-02-28,2355648,Slapjack Pancakes (E Houston St),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,2358047,Big Belly Paninis (Queens Plaza N),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,2359023,Mia's Quesadillas (Queens Plaza N),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,841
2026-02-01,2026-02-28,2359110,Toss N' Chop Salad Bar (Queens Plaza N),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,856
2026-02-01,2026-02-28,2361507,Sip On Smoothie (Queens Plaza N),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,852
2026-02-01,2026-02-28,2400705,The Pasta Brothers (265 Bedford Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,856
2026-02-01,2026-02-28,2400705,The Pasta Brothers (265 Bedford Ave),NULL,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,30
