Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
2026-02-01,2026-02-28,Hassan's Mediterranean Flatbreads (1849 N Scottsdale Rd),24606197,11427318,24606197,5,4,0,0.00,0.00,1,20.00,0,0.00,0.00,0.00,4.02,33.25,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,33.28
2026-02-01,2026-02-28,Headlines Mexican Spot,33964025,550785,33964025,1,0,0,0.00,0.00,1,100.00,1,100.00,0.00,0.00,0.00,0.00,99.72,0.28,45,NULL,0,NULL,NULL,0,0,0.00,USD,0.00
2026-02-01,2026-02-28,Headlines Mexican Spot (265 Bedford Ave),1834983,550785,NULL,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,97.91,2.09,841,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Healthy Salad Bar,1585823,554803,5423,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,99.93,0.07,4,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Healthy Salad Bar,1619091,554803,1760,27,27,0,0.00,0.00,0,0.00,0,0.00,0.00,0.58,2.30,37.70,97.9,2.1,847,NULL,0,NULL,NULL,0,0,0.00,USD,37.72
2026-02-01,2026-02-28,Heaven's Burgers,38058341,443555,38058341,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Heaven's Burgers,33950863,443555,33950863,1,1,0,0.00,0.00,0,0.00,0,0.00,0.00,0.93,1.10,34.00,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,34.60
2026-02-01,2026-02-28,Heaven's Burgers (1 Kedron Ave Unit 4),35463385,443555,35463385,1,1,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,10.98,71.00,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,71.03
2026-02-01,2026-02-28,Heaven's Burgers (1282 Essex Ave),38215266,443555,38215266,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.0,100.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Heaven's Burgers (S 11th St),25404570,443555,25404570,5,5,0,0.00,0.00,0,0.00,0,0.00,0.00,0.55,2.30,54.00,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,44.16
2026-02-01,2026-02-28,Heavens Chicken Wings (New York),849212,377545,NULL,7,7,1,14.29,20.51,0,0.00,0,0.00,0.00,0.39,2.45,35.71,97.89,2.11,849,NULL,0,NULL,NULL,0,0,0.00,USD,35.78
2026-02-01,2026-02-28,Hella Good Chicken Wings (43 W Flagler St),28606154,292230,28606154,9,9,0,0.00,0.00,0,0.00,0,0.00,0.00,0.68,4.79,47.67,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,47.74
2026-02-01,2026-02-28,Henry's Chicken Wings (4663 Trousdale Dr),24328785,873775,24328785,4,3,1,33.33,6.07,1,25.00,1,25.00,0.00,0.00,2.90,47.67,99.5,0.5,121,NULL,0,NULL,NULL,0,0,0.00,USD,47.44
2026-02-01,2026-02-28,High Life Breakfast Sandwiches,38215657,899169,38215657,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.0,100.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,High Life Breakfast Sandwiches,33975103,899169,33975103,2,2,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,4.51,36.50,97.21,2.79,285,NULL,0,NULL,NULL,0,0,0.00,USD,36.43
2026-02-01,2026-02-28,High Life Breakfast Sandwiches,37375845,899169,37375845,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,97.83,2.17,454,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,High Life Breakfast Sandwiches (1213 Amsterdam Ave),36255055,899169,36255055,9,8,1,12.50,4.49,1,11.11,1,11.11,0.00,0.34,4.34,56.63,96.21,3.79,778,NULL,0,NULL,NULL,0,0,0.00,USD,28.69
2026-02-01,2026-02-28,High Life Breakfast Sandwiches (3319 W Pico Blvd),28605981,899169,28605981,12,12,3,25.00,51.66,0,0.00,0,0.00,0.00,0.43,3.07,33.17,100.0,0.0,0,NULL,2,NULL,NULL,0,0,0.00,USD,33.15
2026-02-01,2026-02-28,High Life Breakfast Sandwiches (589 1st Avenue),38214901,899169,38214901,7,7,0,0.00,0.00,0,0.00,0,0.00,0.00,0.45,3.75,36.86,97.62,2.38,960,NULL,0,NULL,NULL,0,0,0.00,USD,36.71
2026-02-01,2026-02-28,High Life Breakfast Sandwiches (612 11th Ave),25129904,899169,25129904,5,5,1,20.00,13.91,0,0.00,0,0.00,0.00,1.31,6.12,33.00,97.9,2.1,846,NULL,0,NULL,NULL,0,0,0.00,USD,32.99
2026-02-01,2026-02-28,High Life Breakfast Sandwiches (Chapel St),23106184,899169,23106184,44,40,2,5.00,12.94,4,9.09,2,4.55,0.00,1.66,4.59,34.53,99.74,0.26,60,NULL,0,NULL,NULL,0,0,0.00,USD,34.69
