Start Date,End Date,Store ID,Store Name,Merchant Supplied ID,Error Category,Count of Item Errors,% of Total Item Errors
2026-02-01,2026-02-28,1332271,Charlie's Chicken Wings (New York),NULL,Missing Item,2,100.0
2026-02-01,2026-02-28,1465058,Charlie's Chicken Wings (Virtual Brand)(Bronxdale Ave),NULL,Ingredient Error,3,60.0
2026-02-01,2026-02-28,1465058,Charlie's Chicken Wings (Virtual Brand)(Bronxdale Ave),NULL,Missing Item,2,40.0
2026-02-01,2026-02-28,63275,Cheers on Demand (Fillmore St),NULL,NULL,1,100.0
2026-02-01,2026-02-28,1591183,Cheesecake And Dessert Bar,NULL,Missing Item,1,100.0
2026-02-01,2026-02-28,35670053,Cheesy Mac Factory,35670053,Missing Item,2,100.0
2026-02-01,2026-02-28,23085625,Chef Hanoka Sushi (W Peoria Ave),23085625,Ingredient Error,1,100.0
2026-02-01,2026-02-28,32863708,Chef's Chicken Bowls (9737 Manchester Rd),32863708,Missing Side Item,1,50.0
2026-02-01,2026-02-28,32863708,Chef's Chicken Bowls (9737 Manchester Rd),32863708,Ingredient Error,1,50.0
2026-02-01,2026-02-28,39846441,Cherry's Chic Desserts,39846441,Missing Item,2,100.0
2026-02-01,2026-02-28,23784850,Cherry's Chic Desserts (4249 Washington St),23784850,Missing Item,1,100.0
2026-02-01,2026-02-28,23280271,Chicken Salad Bar (Sullivan St),23280271,Ingredient Error,1,100.0
2026-02-01,2026-02-28,26174821,Chicken Sandwich Loft,26174821,Missing Item,2,100.0
2026-02-01,2026-02-28,23785266,Chicken Tenders Bar (4249 Washington St),23785266,Missing Item,2,100.0
2026-02-01,2026-02-28,22981379,Chief's Cheesesteaks (Lee Hwy),22981379,Missing Side Item,1,100.0
2026-02-01,2026-02-28,34338815,Chop & Dice Salads (3349 Mission St),34338815,Missing Item,1,100.0
2026-02-01,2026-02-28,36019345,Chris's Chicken Tenders,36019345,Missing Item,1,100.0
2026-02-01,2026-02-28,1758531,Classic Cheeseburger Bar,NULL,Missing Side Item,1,100.0
2026-02-01,2026-02-28,33963911,Classic Cheeseburger Bar (560 E 149th St),33963911,Missing Item,1,100.0
2026-02-01,2026-02-28,943687,Curry Curry Curry (S Abbott Ave),NULL,Ingredient Error,1,50.0
2026-02-01,2026-02-28,943687,Curry Curry Curry (S Abbott Ave),NULL,Missing Side Item,1,50.0
2026-02-01,2026-02-28,23087632,DTLA Ramen Izakaya (W Camelback Rd),23087632,Missing Item,2,100.0
2026-02-01,2026-02-28,2110247,Dangerous Ice Cream (867 FIllmore Street),NULL,Missing Item,1,100.0
2026-02-01,2026-02-28,1458742,Danny's Desserts (1147 West Chester Pike),NULL,Missing Item,5,100.0
2026-02-01,2026-02-28,36019835,Danny's Desserts (4352 E Speedway Blvd),36019835,Missing Item,2,66.67
2026-02-01,2026-02-28,36019835,Danny's Desserts (4352 E Speedway Blvd),36019835,Ingredient Error,1,33.33
2026-02-01,2026-02-28,23532713,Danny's Desserts (Van Nuys Blvd),23532713,Incorrect Size,1,100.0
2026-02-01,2026-02-28,36587123,Daybreak Breakfast Club,36587123,Ingredient Error,2,100.0
2026-02-01,2026-02-28,32863821,Daybreak Breakfast Club (168 Myrtle Ave),32863821,Ingredient Error,3,75.0
2026-02-01,2026-02-28,32863821,Daybreak Breakfast Club (168 Myrtle Ave),32863821,Missing Item,1,25.0
2026-02-01,2026-02-28,26292279,Doughboys Sandwiches (101 Guyon Ave),26292279,Missing Side Item,1,100.0
2026-02-01,2026-02-28,32926571,EZ Cheesesteaks (3846 Mowry Ave),32926571,Missing Side Item,3,50.0
2026-02-01,2026-02-28,32926571,EZ Cheesesteaks (3846 Mowry Ave),32926571,Ingredient Error,1,16.67
2026-02-01,2026-02-28,32926571,EZ Cheesesteaks (3846 Mowry Ave),32926571,Missing Item,2,33.33
2026-02-01,2026-02-28,1725776,Empire State Panini,NULL,Missing Item,2,100.0
2026-02-01,2026-02-28,33948073,Exquisite Bowls,33948073,Missing Side Item,1,100.0
2026-02-01,2026-02-28,24387240,Exquisite Poke Bowls (33757 Woodward Ave),24387240,Ingredient Error,1,100.0
2026-02-01,2026-02-28,37994405,Fierce Chicken Sandwich,37994405,Missing Item,1,100.0
2026-02-01,2026-02-28,24899866,Fierce Chicken Sandwich (226 1/2 Newark Ave),24899866,Missing Side Item,1,100.0
2026-02-01,2026-02-28,35668945,Fierce Chicken Sandwich (6413 Hillcrest Ave),35668945,Missing Item,1,100.0
2026-02-01,2026-02-28,24270691,Fiesta Vegan Mexican (4955 Voltaire St),24270691,Missing Item,3,75.0
2026-02-01,2026-02-28,24270691,Fiesta Vegan Mexican (4955 Voltaire St),24270691,Ingredient Error,1,25.0
2026-02-01,2026-02-28,32926642,Finn's Famous Fries (3846 Mowry Ave),32926642,Missing Item,1,100.0
2026-02-01,2026-02-28,32863837,Fiona's Breakfast Burritos (277 Gold Street),32863837,Missing Item,1,100.0
2026-02-01,2026-02-28,22988449,Fiona's Breakfast Burritos (Michelson Dr),22988449,Missing Item,3,75.0
2026-02-01,2026-02-28,22988449,Fiona's Breakfast Burritos (Michelson Dr),22988449,Ingredient Error,1,25.0
2026-02-01,2026-02-28,1456061,Fiona's Breakfast Burritos -  (Polk St),NULL,Missing Side Item,1,100.0
2026-02-01,2026-02-28,26292110,First Light Breakfast Cafe (101 Guyon Ave),26292110,Missing Side Item,1,33.33
2026-02-01,2026-02-28,26292110,First Light Breakfast Cafe (101 Guyon Ave),26292110,Missing Item,2,66.67
2026-02-01,2026-02-28,24387449,First Light Breakfast Cafe (3907 Lee Hwy),24387449,Ingredient Error,1,20.0
2026-02-01,2026-02-28,24387449,First Light Breakfast Cafe (3907 Lee Hwy),24387449,Missing Item,4,80.0
2026-02-01,2026-02-28,31314269,FirstBite Breakfast Sandwiches (370 Main St),31314269,Missing Item,4,80.0
2026-02-01,2026-02-28,31314269,FirstBite Breakfast Sandwiches (370 Main St),31314269,Missing Side Item,1,20.0
2026-02-01,2026-02-28,2140050,Flowers Bouquet Shop (171 Bleecker St),NULL,Missing Item,30,85.71
2026-02-01,2026-02-28,2140050,Flowers Bouquet Shop (171 Bleecker St),NULL,NULL,2,5.71
2026-02-01,2026-02-28,2140050,Flowers Bouquet Shop (171 Bleecker St),NULL,Incorrect Quantity,3,8.57
2026-02-01,2026-02-28,394811,Food & Liquor World,NULL,Incorrect Quantity,1,100.0
2026-02-01,2026-02-28,26175160,Frank's Philly Cheesesteaks,26175160,Missing Side Item,1,25.0
2026-02-01,2026-02-28,26175160,Frank's Philly Cheesesteaks,26175160,Ingredient Error,2,50.0
2026-02-01,2026-02-28,26175160,Frank's Philly Cheesesteaks,26175160,Missing Item,1,25.0
2026-02-01,2026-02-28,32863839,Fresh N Fruity Smoothies (382 8th Ave),32863839,Missing Item,1,100.0
2026-02-01,2026-02-28,24636919,Fresh Seafood House (226 Newark Ave),24636919,Missing Side Item,1,100.0
2026-02-01,2026-02-28,24974898,Fried Chicken Savage (555 CA-17),24974898,Missing Item,1,100.0
2026-02-01,2026-02-28,33948287,Fry Bird Sandwiches (16224 Tuskegee Airmen Way),33948287,Missing Item,4,100.0
2026-02-01,2026-02-28,33558897,Fry Bird Sandwiches (493 Old Hickory Blvd),33558897,Missing Item,1,100.0
2026-02-01,2026-02-28,23367264,General's French Toast (W Chester Pike),23367264,Missing Side Item,1,50.0
2026-02-01,2026-02-28,23367264,General's French Toast (W Chester Pike),23367264,Missing Item,1,50.0
2026-02-01,2026-02-28,23367267,Get Grilled Cheesin' (W Chester Pike),23367267,Missing Item,2,100.0
2026-02-01,2026-02-28,33558959,Gina's Greens N' Things (327 Union St),33558959,Missing Item,1,100.0
2026-02-01,2026-02-28,1451975,Golden Bear Sandwiches (Virtual Brand)(W Chester Pike),NULL,Missing Item,2,100.0
2026-02-01,2026-02-28,33558983,Good Planet Vegan Burgers (1428 Polk St),33558983,Ingredient Error,2,100.0
2026-02-01,2026-02-28,26000460,Gooey Mac N cheez (W Jefferson),26000460,Missing Item,1,100.0
2026-02-01,2026-02-28,24556355,Gourmet Omelette Bar (226 1/2 Newark Ave),24556355,Missing Item,1,100.0
2026-02-01,2026-02-28,35900839,Grandma's Breakfast Sandwiches,35900839,Ingredient Error,1,50.0
2026-02-01,2026-02-28,35900839,Grandma's Breakfast Sandwiches,35900839,Missing Item,1,50.0
2026-02-01,2026-02-28,33973783,Grandma's Breakfast Sandwiches (105 Avenue A),33973783,Wrong Order,3,100.0
2026-02-01,2026-02-28,25833954,Grandma's Breakfast Sandwiches (15198 E 13 Mile Rd),25833954,Missing Item,2,50.0
2026-02-01,2026-02-28,25833954,Grandma's Breakfast Sandwiches (15198 E 13 Mile Rd),25833954,Ingredient Error,2,50.0
2026-02-01,2026-02-28,23549227,Grandma's Breakfast Sandwiches (315 Walter E Foran Blvd Ste 314),23549227,Missing Item,2,100.0
2026-02-01,2026-02-28,24556141,Grandma's Breakfast Sandwiches (5993 Broadway),24556141,Missing Item,1,100.0
2026-02-01,2026-02-28,33948345,Greens Salad God (6611 S 101st E Ave),33948345,Missing Side Item,1,33.33
2026-02-01,2026-02-28,33948345,Greens Salad God (6611 S 101st E Ave),33948345,Ingredient Error,2,66.67
2026-02-01,2026-02-28,23367290,Grilled Cheese Ecstatic (E 8th St),23367290,Missing Item,3,100.0
2026-02-01,2026-02-28,873424,Halal Chicken Gyros Co. (Mowry Ave),NULL,Missing Side Item,1,100.0
2026-02-01,2026-02-28,24556356,Haley's Heavenly Burgers (226 1/2 Newark Ave),24556356,Missing Item,1,100.0
2026-02-01,2026-02-28,849212,Heavens Chicken Wings (New York),NULL,Missing Item,1,100.0
2026-02-01,2026-02-28,24328785,Henry's Chicken Wings (4663 Trousdale Dr),24328785,Ingredient Error,1,100.0
2026-02-01,2026-02-28,36255055,High Life Breakfast Sandwiches (1213 Amsterdam Ave),36255055,Missing Item,1,100.0
2026-02-01,2026-02-28,28605981,High Life Breakfast Sandwiches (3319 W Pico Blvd),28605981,Missing Item,4,100.0
2026-02-01,2026-02-28,25129904,High Life Breakfast Sandwiches (612 11th Ave),25129904,Missing Item,1,100.0
2026-02-01,2026-02-28,23106184,High Life Breakfast Sandwiches (Chapel St),23106184,Ingredient Error,2,66.67
2026-02-01,2026-02-28,23106184,High Life Breakfast Sandwiches (Chapel St),23106184,Missing Item,1,33.33
2026-02-01,2026-02-28,24556139,House of Paninis (5993 Broadway),24556139,Missing Item,1,50.0
2026-02-01,2026-02-28,24556139,House of Paninis (5993 Broadway),24556139,Missing Side Item,1,50.0
2026-02-01,2026-02-28,1581202,Ice Cream and Cake Shop(Virtual Brand),NULL,Missing Item,3,100.0
2026-02-01,2026-02-28,34250643,Italian Pasta Joint,34250643,Missing Item,1,100.0
2026-02-01,2026-02-28,32961985,Italian Pasta Lounge (4115 Concord Blvd Suite 70),32961985,Ingredient Error,1,100.0
2026-02-01,2026-02-28,32961981,Italian Pasta Lounge (493 Old Hickory Blvd),32961981,Missing Item,1,100.0
2026-02-01,2026-02-28,33948533,Jay's Breakfast Bar,33948533,Missing Item,1,100.0
2026-02-01,2026-02-28,839909,Jay's Breakfast Bar (Washington Blvd),NULL,Incorrect Quantity,1,100.0
2026-02-01,2026-02-28,1008261,Joe's Chicken and Waffles,NULL,Missing Item,6,75.0
2026-02-01,2026-02-28,1008261,Joe's Chicken and Waffles,NULL,Ingredient Error,1,12.5
2026-02-01,2026-02-28,1008261,Joe's Chicken and Waffles,NULL,Missing Side Item,1,12.5
2026-02-01,2026-02-28,35871797,John's Pizza Den,35871797,Ingredient Error,2,100.0
2026-02-01,2026-02-28,35856397,John's Pizza Den,35856397,Missing Item,1,100.0
